GEIST-IMD-MIB,,,,
,,,,
OID name,OID,access,type,units
,,,,
General System Information OIDs,,,,
thdSensorIndex,1.3.6.1.4.1.21239.5.2.9.1.1,read-only,Integer32(1..100),
thdSensorSerial,1.3.6.1.4.1.21239.5.2.9.1.2,read-only,DisplayString,
thdSensorName,1.3.6.1.4.1.21239.5.2.9.1.3,read-only,DisplayString,
thdSensorAvail,1.3.6.1.4.1.21239.5.2.9.1.4,read-only,Gauge32,
thdSensorTemp,1.3.6.1.4.1.21239.5.2.9.1.5,read-only,Integer32(-40..200),0.1 Degrees
thdSensorHumidity,1.3.6.1.4.1.21239.5.2.9.1.6,read-only,Integer32(0..100),%
thdSensorDewPoint,1.3.6.1.4.1.21239.5.2.9.1.7,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Power Manager Sensor,,,,
rpmSensorTable,1.3.6.1.4.1.21239.5.2.10,no-access,other,
RpmSensorEntry,1.3.6.1.4.1.21239.5.2.10.1,no-access,other,
rpmSensorIndex,1.3.6.1.4.1.21239.5.2.10.1.1,read-only,Integer32(1..100),
rpmSensorSerial,1.3.6.1.4.1.21239.5.2.10.1.2,read-only,DisplayString,
rpmSensorName,1.3.6.1.4.1.21239.5.2.10.1.3,read-only,DisplayString,
rpmSensorAvail,1.3.6.1.4.1.21239.5.2.10.1.4,read-only,Gauge32,
rpmSensorEnergy,1.3.6.1.4.1.21239.5.2.10.1.5,read-only,Gauge32,kWh
rpmSensorVoltage,1.3.6.1.4.1.21239.5.2.10.1.6,read-only,Gauge32,Volts (rms)
rpmSensorVoltageMax,1.3.6.1.4.1.21239.5.2.10.1.7,read-only,Gauge32,Volts (rms)
rpmSensorVoltageMin,1.3.6.1.4.1.21239.5.2.10.1.8,read-only,Gauge32,Volts (rms)
rpmSensorVoltagePeak,1.3.6.1.4.1.21239.5.2.10.1.9,read-only,Gauge32,Volts
rpmSensorCurrent,1.3.6.1.4.1.21239.5.2.10.1.10,read-only,Gauge32,0.1 Amps (rms)
rpmSensorRealPower,1.3.6.1.4.1.21239.5.2.10.1.11,read-only,Gauge32,Watts
rpmSensorApparentPower,1.3.6.1.4.1.21239.5.2.10.1.12,read-only,Gauge32,Volt-Amps
rpmSensorPowerFactor,1.3.6.1.4.1.21239.5.2.10.1.13,read-only,Gauge32,%
rpmSensorOutlet1,1.3.6.1.4.1.21239.5.2.10.1.14,read-only,Gauge32,
rpmSensorOutlet2,1.3.6.1.4.1.21239.5.2.10.1.15,read-only,Gauge32,
,,,,
,,,,
Notify Name, Enterprise OID, General Notify Number, Specific Notify Number,
,,,,
Notify Information,,,,
,,,,
internalTestNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10101,
,,,,
,,,,
pduMainAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10305,
pduMainAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20305,
pduTotalRealPowerNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10309,
pduTotalRealPowerCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20309,
pduTotalApparentPowerNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10310,
pduTotalApparentPowerCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20310,
pduTotalPowerFactorNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10311,
pduTotalPowerFactorCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20311,
pduTotalEnergyNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10312,
pduTotalEnergyCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20312,
,,,,
pduPhaseVoltageNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10324,
pduPhaseVoltageCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20324,
pduPhaseVoltageMaxNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10325,
pduPhaseVoltageMaxCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20325,
pduPhaseVoltageMinNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10326,
pduPhaseVoltageMinCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20326,
pduPhaseVoltagePeakNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10327,
