GEIST-IMD-MIB,,,,
,,,,
OID name,OID,access,type,units
,,,,
General System Information OIDs,,,,
pduPhaseVoltagePeakCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20327,
pduPhaseCurrentNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10328,
pduPhaseCurrentCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20328,
pduPhaseCurrentMaxNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10329,
pduPhaseCurrentMaxCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20329,
pduPhaseCurrentMinNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10330,
pduPhaseCurrentMinCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20330,
pduPhaseCurrentPeakNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10331,
pduPhaseCurrentPeakCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20331,
pduPhaseRealPowerNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10332,
pduPhaseRealPowerCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20332,
pduPhaseApparentPowerNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10333,
pduPhaseApparentPowerCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20333,
pduPhasePowerFactorNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10334,
pduPhasePowerFactorCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20334,
pduPhaseEnergyNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10335,
pduPhaseEnergyCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20335,
,,,,
pduBreakerCurrentNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10354,
pduBreakerCurrentCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20354,
pduBreakerCurrentMaxNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10355,
pduBreakerCurrentMaxCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20355,
pduBreakerCurrentMinNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10356,
pduBreakerCurrentMinCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20356,
pduBreakerCurrentPeakNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10357,
pduBreakerCurrentPeakCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20357,
,,,,
pduLineCurrentNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10374,
pduLineCurrentCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20374,
pduLineCurrentMaxNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10375,
pduLineCurrentMaxCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20375,
pduLineCurrentMinNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10376,
pduLineCurrentMinCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20376,
pduLineCurrentPeakNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10377,
pduLineCurrentPeakCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20377,
,,,,
tempSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10404,
tempSensorAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20404,
tempSensorTempNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10405,
tempSensorTempCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20405,
,,,,
airFlowSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10504,
airFlowSensorAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20504,
airFlowSensorTempNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10505,
airFlowSensorTempCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20505,
airFlowSensorFlowNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10506,
airFlowSensorFlowCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20506,
airFlowSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10507,
airFlowSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20507,
airFlowSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10508,
airFlowSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20508,
,,,,
dewPointSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10604,
dewPointSensorAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20604,
dewPointSensorTempNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10605,
dewPointSensorTempCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20605,
dewPointSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10606,
dewPointSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20606,
dewPointSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10607,
dewPointSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20607,
,,,,
ccatSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10704,
ccatSensorAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20704,
ccatSensorValueNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10705,
ccatSensorValueCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20705,
,,,,
t3hdSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10804,
t3hdSensorAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20804,
t3hdSensorIntTempNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10806,
t3hdSensorIntTempCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20806,
t3hdSensorIntHumidityNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10807,
t3hdSensorIntHumidityCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20807,
t3hdSensorIntDewPointNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10808,
t3hdSensorIntDewPointCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20808,
t3hdSensorExtATempNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10811,
t3hdSensorExtATempCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20811,
t3hdSensorExtBTempNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10814,
t3hdSensorExtBTempCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20814,
,,,,
thdSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10904,
thdSensorAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20904,
thdSensorTempNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10905,
thdSensorTempCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20905,
thdSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10906,
thdSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20906,
thdSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,10907,
thdSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,20907,
,,,,
rpmSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11004,
rpmSensorAvailCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21004,
rpmSensorEnergyNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11005,
rpmSensorEnergyCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21005,
rpmSensorVoltageNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11006,
rpmSensorVoltageCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21006,
rpmSensorVoltageMaxNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11007,
rpmSensorVoltageMaxCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21007,
rpmSensorVoltageMinNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11008,
rpmSensorVoltageMinCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21008,
rpmSensorVoltagePeakNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11009,
rpmSensorVoltagePeakCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21009,
rpmSensorCurrentNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11010,
rpmSensorCurrentCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21010,
rpmSensorRealPowerNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11011,
rpmSensorRealPowerCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21011,
rpmSensorApparentPowerNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11012,
rpmSensorApparentPowerCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21012,
rpmSensorPowerFactorNOTIFY,1.3.6.1.4.1.21239.5.2.32767,6,11013,
rpmSensorPowerFactorCLEAR,1.3.6.1.4.1.21239.5.2.32767,6,21013,
,,,,
